URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate
125050,936,Surrey,2414,Swansmere School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,2,Primary,3,7,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Ambleside Avenue,,,Walton-on-Thames,Surrey,KT12 3LL,,,Mr,R,Allen,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000207,Elmbridge,E05011086,Walton North,E14000697,Esher and Walton,A1,(England/Wales) Urban major conurbation,E10000030,511280,166231,Elmbridge 008,Elmbridge 008A,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006324,E01030354,,
125051,936,Surrey,2415,Badshot Lea Village Infant School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,4,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,148,1,Has Special Classes,15-01-2026,147,74,73,12.90,0,Not applicable,,,Not applicable,,Not under a federation,,,10080419,,Not applicable,30-06-2026,Badshot Lea Road,Badshot Lea,,Farnham,Surrey,GU9 9LE,http://www.badshot-lea.surrey.sch.uk,01252320883,Mrs,G,Ball,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,SEN unit,,,12,13,J,South East,E07000216,Waverley,E05015157,Farnham Moor Park,E14001234,Farnham and Bordon,UN1,Urban: Nearer to a major town or city,E10000030,486475,148665,Waverley 001,Waverley 001C,,,,,,999,,,,200001290112,,0,Not applicable,0,Not applicable,,,E02006439,E01030903,19,
125052,936,Surrey,2417,Polesden Lacey Infant School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,30-04-2025,2,Primary,4,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,90,2,No Special Classes,16-01-2025,63,38,25,3.20,0,Not applicable,,,Not applicable,,Not under a federation,,,10072761,,Not applicable,08-07-2025,Oakdene Close,Great Bookham,,Leatherhead,Surrey,KT23 4PT,,,Ms,Rebecca,Mole,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000210,Mole Valley,E05015343,Bookham East & Eastwick Park,E14001201,Dorking and Horley,A1,(England/Wales) Urban major conurbation,E10000030,514102,153882,Mole Valley 007,Mole Valley 007A,,,,,,999,,,,100062371231,,0,Not applicable,0,Not applicable,,,E02006368,E01030520,2,
125053,936,Surrey,2419,Crawley Ridge Infant School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,31-03-2018,2,Primary,5,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,180,2,No Special Classes,18-01-2018,177,87,90,5.1,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Crawley Ridge,,,Camberley,Surrey,GU15 2AJ,,,Mrs,Susan,Hope,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000214,Surrey Heath,E05012036,St Pauls,E14000983,Surrey Heath,C1,(England/Wales) Urban city and town,E10000030,488995,161101,Surrey Heath 005,Surrey Heath 005C,,,,,,999,,,,100062328231,,0,Not applicable,0,Not applicable,,,E02006420,E01030798,9,
125054,936,Surrey,2422,Court Lodge Infant and Nursery School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,2,Primary,3,7,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,162,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Court Lodge Road,,,Horley,Surrey,RH6 8RG,,,Mrs,Deborah,Robins,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000211,Reigate and Banstead,E05012878,Horley West & Sidlow,E14000681,East Surrey,C1,(England/Wales) Urban city and town,E10000030,527777,143348,Reigate and Banstead 016,Reigate and Banstead 016D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006390,E01030587,,
125055,936,Surrey,2427,Burhill Primary School,05,Foundation school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,06,None,Does not apply,0000,Not applicable,0,Not applicable,630,2,No Special Classes,15-01-2026,545,287,258,9.90,1,Supported by a trust,1196,Voice Education Trust,Not applicable,,Not under a federation,,,10069615,,Not applicable,30-06-2026,New Berry Lane,,,Hersham,Surrey,KT12 4HQ,www.burhill.surrey.sch.uk/,01932225836,Mrs,Gemma,Adams,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000207,Elmbridge,E05011077,Hersham Village,E14001230,Esher and Walton,UN1,Urban: Nearer to a major town or city,E10000030,511589,163993,Elmbridge 014,Elmbridge 014E,,,,,,999,,,,100062359517,,0,Not applicable,0,Not applicable,,,E02006330,E01030317,54,
125056,936,Surrey,2428,Grovelands Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420,2,No Special Classes,15-01-2026,482,257,225,28.60,0,Not applicable,,,Not applicable,,Not under a federation,,,10078082,,Not applicable,30-06-2026,Terrace Road,,Grovelands Primary Schoo,Walton on Thames,Surrey,KT12 2EB,http://www.grovelands.surrey.sch.uk,01932227816,Mr,Dan,Tuck,Head of School,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000207,Elmbridge,E05011086,Walton North,E14001230,Esher and Walton,UN1,Urban: Nearer to a major town or city,E10000030,510944,167292,Elmbridge 004,Elmbridge 004D,,,,,,999,,,,100062358808,,0,Not applicable,0,Not applicable,,,E02006320,E01030364,138,
125057,936,Surrey,2429,Ashley Infant School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,00,Not applicable,31-08-1996,2,Primary,5,7,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Ashley Road,,,Walton-on-Thames,Surrey,KT12 1HX,,,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000207,Elmbridge,E05011085,Walton Central,E14000697,Esher and Walton,A1,(England/Wales) Urban major conurbation,E10000030,510191,166147,Elmbridge 007,Elmbridge 007C,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006323,E01030359,,
125058,936,Surrey,2430,Bell Farm Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,99,,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,693,1,Has Special Classes,15-01-2026,649,322,327,22.20,0,Not applicable,,,Not applicable,,Not under a federation,,,10071192,,Not applicable,01-07-2026,Hersham Road,Hersham,,Walton-on-Thames,Surrey,KT12 5NB,www.bell-farm.co.uk/,01932224009,Miss,Anne,Cooper,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,,,,,,,,,,,,SEN unit,,,20,21,J,South East,E07000207,Elmbridge,E05011077,Hersham Village,E14001230,Esher and Walton,UN1,Urban: Nearer to a major town or city,E10000030,511415,164879,Elmbridge 010,Elmbridge 010A,,,,,,999,,,,10012066121,,0,Not applicable,0,Not applicable,,,E02006326,E01030313,144,
125059,936,Surrey,2432,Ambleside Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2004,2,Primary,7,11,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,423,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Ambleside Avenue,,,Walton-on-Thames,Surrey,KT12 3LN,,,Miss,M,Lauder,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000207,Elmbridge,E05011086,Walton North,E14000697,Esher and Walton,A1,(England/Wales) Urban major conurbation,E10000030,511407,166112,Elmbridge 008,Elmbridge 008B,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006324,E01030355,,
125060,936,Surrey,2435,Audley Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,218,2,No Special Classes,15-01-2026,211,116,95,13.30,0,Not applicable,,,Not applicable,,Not under a federation,,,10071191,,Not applicable,30-06-2026,Whyteleafe Road,,,Caterham,Surrey,CR3 5ED,www.audleyprimary.uk,01883342330,Mrs,Manjeet,Rebello,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000215,Tandridge,E05015895,Portley & Queens Park,E14001215,East Surrey,UN1,Urban: Nearer to a major town or city,E10000030,533502,156867,Tandridge 003,Tandridge 003C,,,,,,999,,,,200000142860,,0,Not applicable,0,Not applicable,,,E02006430,E01030846,28,
125061,936,Surrey,2436,Ravenscote Community Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,30-11-2014,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,600,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Old Bisley Road,Frimley,,Camberley,Surrey,GU16 9RE,,,Mr,David,Harris,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000214,Surrey Heath,E05012030,Heatherside,E14000983,Surrey Heath,C1,(England/Wales) Urban city and town,E10000030,489290,158993,Surrey Heath 007,Surrey Heath 007B,,,,,,999,,,,10002670961,,0,Not applicable,0,Not applicable,,,E02006422,E01030775,,
125062,936,Surrey,2440,Connaught Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,30-09-2013,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,360,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Manor Way,,,Bagshot,Surrey,GU19 5JY,,,Mr,Seb,Sales,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000214,Surrey Heath,E05012026,Bagshot,E14000983,Surrey Heath,D1,(England/Wales) Rural town and fringe,E10000030,491409,162787,Surrey Heath 002,Surrey Heath 002A,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006417,E01030757,,
125063,936,Surrey,2441,Watchetts Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2012,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,360,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Frimley Road,,,Camberley,Surrey,GU15 2QB,,,Mrs,Beverley,Norman,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000214,Surrey Heath,E05012038,Watchetts,E14000983,Surrey Heath,C1,(England/Wales) Urban city and town,E10000030,486979,158950,Surrey Heath 008,Surrey Heath 008D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006423,E01030803,,
125064,936,Surrey,2444,Pine Ridge Infant and Nursery School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,31-01-2017,2,Primary,2,7,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,108,2,No Special Classes,19-01-2017,121,70,55,20.5,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Esher Road,Old Dean Estate,,Camberley,Surrey,GU15 4AW,,,Mrs,Trish,Sangwine,Executive Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000214,Surrey Heath,E05012033,Old Dean,E14000983,Surrey Heath,C1,(England/Wales) Urban city and town,E10000030,489375,162305,Surrey Heath 004,Surrey Heath 004C,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006419,E01030788,15,
125065,936,Surrey,2445,Meadowcroft Community Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,150,2,No Special Classes,15-01-2026,135,64,71,25.90,0,Not applicable,,,Not applicable,,Not under a federation,,,10072760,,Not applicable,30-06-2026,Little Green Lane,,,Chertsey,Surrey,KT16 9PT,www.meadowcroftprimaryschool.co.uk,01932561419,Mrs,Jacqueline,Underwood,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,J,South East,E07000212,Runnymede,E05012895,"Longcross, Lyne & Chertsey South",E14001456,Runnymede and Weybridge,UN1,Urban: Nearer to a major town or city,E10000030,503608,165234,Runnymede 007,Runnymede 007F,,,,,,999,,,,200004041055,,0,Not applicable,0,Not applicable,,,E02006399,E01030655,35,
125066,936,Surrey,2446,Stamford Green Primary School and Nursery,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,2,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,695,2,No Special Classes,15-01-2026,685,349,336,8.00,0,Not applicable,,,Not applicable,,Not under a federation,,,10071190,,Not applicable,30-06-2026,Christ Church Mount,,,Epsom,Surrey,KT19 8LU,http://www.stamford-green.surrey.sch.uk,01372725383,Mrs,Louise,Druce,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000208,Epsom and Ewell,E05015102,Stamford,E14001227,Epsom and Ewell,UN1,Urban: Nearer to a major town or city,E10000030,519783,161117,Epsom and Ewell 005,Epsom and Ewell 005D,,,,,,999,,,,100062366729,,0,Not applicable,0,Not applicable,,,E02006339,E01030402,55,
125067,936,Surrey,2448,Onslow Infant School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,5,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,180,2,No Special Classes,15-01-2026,153,66,87,6.50,0,Not applicable,,,Not applicable,,Not under a federation,,,10072759,,Not applicable,30-06-2026,Powell Close,Onslow Village,,Guildford,Surrey,GU2 7DD,www.onslow.surrey.sch.uk,01483532726,Ms,Katherine,Donlon,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000209,Guildford,E05014954,Onslow,E14001258,Guildford,UN1,Urban: Nearer to a major town or city,E10000030,497665,149246,Guildford 015,Guildford 015B,,,,,,999,,,,100062331462,,0,Not applicable,0,Not applicable,,,E02006358,E01030467,10,
125068,936,Surrey,2453,Earlswood Junior School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,480,2,No Special Classes,15-01-2026,382,194,188,23.30,0,Not applicable,,,Not applicable,,Supported by a federation,1969,Federation of Earlswood Schools,10075094,,Not applicable,02-07-2026,Brambletye Park Road,,,Redhill,Surrey,RH1 6JX,http://www.earlswood.surrey.sch.uk,01737765125,,Julie,Chandler,Executive Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000211,Reigate and Banstead,E05012874,Earlswood & Whitebushes,E14001442,Reigate,UN1,Urban: Nearer to a major town or city,E10000030,528425,149331,Reigate and Banstead 014,Reigate and Banstead 014D,,,,,,999,,,,68104938,,0,Not applicable,0,Not applicable,,,E02006388,E01030573,89,
125069,936,Surrey,2454,Holland Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,31-03-2022,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,240,2,No Special Classes,20-01-2022,175,94,81,24.60,0,Not applicable,,,Not applicable,,Not under a federation,,,10075093,,Not applicable,19-07-2022,Holland Road,Hurst Green,,Oxted,Surrey,RH8 9BQ,,,Miss,Gillian,Robertson,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000215,Tandridge,E05007399,Oxted South,E14000681,East Surrey,C1,(England/Wales) Urban city and town,E10000030,540443,150342,Tandridge 007,Tandridge 007C,,,,,,999,,,,100062499343,,0,Not applicable,0,Not applicable,,,E02006434,E01030842,43,
125070,936,Surrey,2457,Reigate Priory Community Junior School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,600,2,No Special Classes,15-01-2026,494,243,251,7.30,0,Not applicable,,,Not applicable,,Not under a federation,,,10075092,,Not applicable,30-06-2026,Bell Street,,,Reigate,Surrey,RH2 7RL,www.reigate-priory.co.uk,01737245065,Mr,Oliver,Moses,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000211,Reigate and Banstead,E05012884,Reigate,E14001442,Reigate,UN1,Urban: Nearer to a major town or city,E10000030,525330,150030,Reigate and Banstead 012,Reigate and Banstead 012D,,,,,,999,,,,68141596,,0,Not applicable,0,Not applicable,,,E02006386,E01030620,36,
125071,936,Surrey,2463,The Echelford Primary School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,06,For Academy,30-09-2013,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,630,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,14-11-2018,Park Road,,,Ashford,Surrey,TW15 1EX,,,Mr,A F,Wilson,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,,,,,,,,,,,,Resourced provision,4,10,,,J,South East,E07000213,Spelthorne,E05007362,Ashford Common,E14000959,Spelthorne,A1,(England/Wales) Urban major conurbation,E10000030,507983,171287,Spelthorne 005,Spelthorne 005A,,,,,,999,,,,33041167,,0,Not applicable,0,Not applicable,,,E02006407,E01030701,,
125072,936,Surrey,2467,Thorpe Lea Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,262,2,No Special Classes,15-01-2026,237,117,120,33.00,0,Not applicable,,,Not applicable,,Not under a federation,,,10073878,,Not applicable,30-06-2026,Huntingfield Way,Thorpe Lea,,Egham,Surrey,TW20 8DY,http://www.thorpe-lea.surrey.sch.uk,01784456398,Mr,Adam,Collin,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000212,Runnymede,E05012891,Egham Hythe,E14001456,Runnymede and Weybridge,UN1,Urban: Nearer to a major town or city,E10000030,502677,170566,Runnymede 003,Runnymede 003A,,,,,,999,,,,100062599659,,0,Not applicable,0,Not applicable,,,E02006395,E01030663,74,
125073,936,Surrey,2468,St Ann's Heath Junior School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,360,2,No Special Classes,15-01-2026,231,115,116,17.30,0,Not applicable,,,Not applicable,,Not under a federation,,,10075091,,Not applicable,30-06-2026,Sandhills Lane,,,Virginia Water,Surrey,GU25 4DS,www.stannsheath.org/,01344842900,Co Headteacher,Jackie King,Pip O'connor,Acting Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000212,Runnymede,E05012899,Virginia Water,E14001588,Windsor,UN1,Urban: Nearer to a major town or city,E10000030,500493,167756,Runnymede 005,Runnymede 005B,,,,,,999,,,,200004039008,,0,Not applicable,0,Not applicable,,,E02006397,E01030690,40,
125074,936,Surrey,2469,Barnsbury Infant School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2008,2,Primary,5,7,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,180,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Hawthorn Road,Barnsbury,,Woking,Surrey,GU22 0BA,,,Mrs,Pauline,Alexander,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000217,Woking,E05010798,Heathlands,E14001047,Woking,A1,(England/Wales) Urban major conurbation,E10000030,499850,156937,Woking 011,Woking 011A,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006466,E01030971,,
125075,936,Surrey,2472,Manby Lodge Infant School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,5,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270,2,No Special Classes,15-01-2026,269,133,136,7.10,0,Not applicable,,,Not applicable,,Not under a federation,,,10072758,,Not applicable,30-06-2026,Princes Road,,,Weybridge,Surrey,KT13 9DA,www.manbylodge.co.uk/,01932851848,Miss,Miriam,Morris,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000207,Elmbridge,E05011089,Weybridge St George's Hill,E14001456,Runnymede and Weybridge,UN1,Urban: Nearer to a major town or city,E10000030,508036,164495,Elmbridge 012,Elmbridge 012E,,,,,,999,,,,100062361306,,0,Not applicable,0,Not applicable,,,E02006328,E01030375,19,
