URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate
101723,306,Croydon,2018,Gilbert Scott Infant Community School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,31-08-2007,2,Primary,3,7,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,189,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Farnborough Avenue,,,South Croydon,Surrey,CR2 8HD,,,Mrs,J M,Hamilton,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011480,Selsdon & Addington Village,E14000654,Croydon Central,A1,(England/Wales) Urban major conurbation,E09000008,536133,163245,Croydon 034,Croydon 034D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02000227,E01001061,,
101724,306,Croydon,2019,Gonville Primary School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,30-04-2011,2,Primary,3,11,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Gonville Road,,,Thornton Heath,Surrey,CR7 6DL,,,Mr,Mark,Ducker,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011488,West Thornton,E14000655,Croydon North,A1,(England/Wales) Urban major conurbation,E09000008,530728,167907,Croydon 011,Croydon 011A,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02000204,E01001174,,
101725,306,Croydon,2020,Howard Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420,2,No Special Classes,15-01-2026,387,197,190,34.90,0,Not applicable,,,Not applicable,,Not under a federation,,,10079715,,Not applicable,29-06-2026,Dering Place,,,Croydon,Surrey,CR0 1DT,www.howard.croydon.sch.uk,02086884216,Miss,J,Handley,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011487,Waddon,E14001188,Croydon West,UN1,Urban: Nearer to a major town or city,E09000008,532255,164547,Croydon 047,Croydon 047D,,,,,,999,,,,100023534599,,0,Not applicable,0,Not applicable,,,E02006988,E01001170,135,
101726,306,Croydon,2021,Kensington Avenue Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,01-09-2005,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,326,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Kensington Avenue,,,Thornton Heath,Surrey,CR7 8BT,,,Mrs,A,Buck,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011473,Norbury Park,E14000655,Croydon North,A1,(England/Wales) Urban major conurbation,E09000008,531344,169598,Croydon 003,Croydon 003D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02000196,E01001161,,
101727,306,Croydon,2022,Kensington Avenue Infant School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,01-09-2005,2,Primary,3,7,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,268,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Kensington Avenue,,,Thornton Heath,Surrey,CR7 8BT,,,Mrs,A,Evans,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011473,Norbury Park,E14000655,Croydon North,A1,(England/Wales) Urban major conurbation,E09000008,531344,169598,Croydon 003,Croydon 003D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02000196,E01001161,,
101728,306,Croydon,2023,Kingsley Junior School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,00,Not applicable,31-08-1999,2,Primary,7,11,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Chapman Road,,,Croydon,Surrey,CR0 3NX,,,Ms,M,Lucy,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011465,Broad Green,E14000655,Croydon North,A1,(England/Wales) Urban major conurbation,E09000008,531220,166321,Croydon 019,Croydon 019D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02000212,E01001010,,
101729,306,Croydon,2024,Kingsley Infants' School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,00,Not applicable,31-08-1999,2,Primary,3,7,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Thomson Crescent,,,Croydon,Surrey,CR0 3JT,,,Mrs,C,Heasman,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011465,Broad Green,E14000655,Croydon North,A1,(England/Wales) Urban major conurbation,E09000008,531106,166397,Croydon 019,Croydon 019B,,,,,,999,,,,10000104575,,0,Not applicable,0,Not applicable,,,E02000212,E01001008,,
101730,306,Croydon,2025,Monks Orchard School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,31-08-2018,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,670,2,No Special Classes,18-01-2018,571,283,288,25.5,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,The Glade,Shirley,,Croydon,Surrey,CR0 7UF,,,Mr,Guy,Fairbairn,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011482,Shirley North,E14000654,Croydon Central,A1,(England/Wales) Urban major conurbation,E09000008,535862,167610,Croydon 018,Croydon 018A,,,,,,999,,,,200001209676,,0,Not applicable,0,Not applicable,,,E02000211,E01000989,136,
101731,306,Croydon,2030,Oval Primary School,01,Community school,4,Local authority maintained schools,2,Closed,00,Not applicable,,06,For Academy,31-08-2011,2,Primary,3,11,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,398,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,98 Cherry Orchard Road,,,Croydon,Surrey,CR0 6BA,,,Mrs,Kate,Toope,Locum Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011463,Addiscombe West,E14000654,Croydon Central,A1,(England/Wales) Urban major conurbation,E09000008,533053,166054,Croydon 022,Croydon 022A,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02000215,E01000975,,
101733,306,Croydon,2033,Purley Oaks Primary School,01,Community school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,660,2,No Special Classes,15-01-2026,642,324,318,32.20,0,Not applicable,,,Not applicable,,Not under a federation,,,10071269,,Not applicable,29-06-2026,Bynes Road,,,South Croydon,Surrey,CR2 0PR,http://www.purleyoaks.croydon.sch.uk/,02086884268,Mr,Richard,Griffin,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011484,South Croydon,E14001187,Croydon South,UN1,Urban: Nearer to a major town or city,E09000008,532675,163281,Croydon 031,Croydon 031B,,,,,,999,,,,100022909992,,0,Not applicable,0,Not applicable,,,E02000224,E01001034,202,
