propertyRecordId,address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
property:MEADOWCROFT HOUSE 182 BALCOMBE ROAD HORLEY RH6 9ER|RH69ER,"MEADOWCROFT HOUSE, 182, BALCOMBE ROAD, HORLEY, RH6 9ER","MEADOWCROFT HOUSE, 182",,BALCOMBE ROAD,,HORLEY,RH6 9ER,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2023-06-02,reigate-banstead,B
property:CRAIGLEITH WOODLANDS ROAD EAST VIRGINIA WATER GU25 4PH|GU254PH,"CRAIGLEITH, WOODLANDS ROAD EAST, VIRGINIA WATER, GU25 4PH",CRAIGLEITH,,WOODLANDS ROAD EAST,,VIRGINIA WATER,GU25 4PH,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:woodlands-road-east:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,2950000,2023-06-01,runnymede-wentworth,A
property:186 SILVERDALE AVENUE WALTON ON THAMES KT12 1EL|KT121EL,"186, SILVERDALE AVENUE, WALTON-ON-THAMES, KT12 1EL",186,,SILVERDALE AVENUE,,WALTON-ON-THAMES,KT12 1EL,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3130000,2023-05-31,elmbridge-prime,A
property:LAKE HOUSE HIGHAMS LANE CHOBHAM WOKING GU24 8TD|GU248TD,"LAKE HOUSE, HIGHAMS LANE, CHOBHAM, WOKING, GU24 8TD",LAKE HOUSE,,HIGHAMS LANE,CHOBHAM,WOKING,GU24 8TD,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2300000,2023-05-31,surrey-heath,A
property:28 MIZEN WAY COBHAM KT11 2RH|KT112RH,"28, MIZEN WAY, COBHAM, KT11 2RH",28,,MIZEN WAY,,COBHAM,KT11 2RH,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:mizen-way:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,2050000,2023-05-31,elmbridge-prime,A
property:GARDEN REACH HOUSE CAMP END ROAD WEYBRIDGE KT13 0NW|KT130NW,"GARDEN REACH HOUSE, CAMP END ROAD, WEYBRIDGE, KT13 0NW",GARDEN REACH HOUSE,,CAMP END ROAD,,WEYBRIDGE,KT13 0NW,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:camp-end-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,7500000,2023-05-30,elmbridge-prime,A
property:49 BELL ROAD EAST MOLESEY KT8 0SS|KT80SS,"49, BELL ROAD, EAST MOLESEY, KT8 0SS",49,,BELL ROAD,,EAST MOLESEY,KT8 0SS,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2500000,2023-05-30,elmbridge-prime,A
property:10 PELHAMS WALK ESHER KT10 8QD|KT108QD,"10, PELHAMS WALK, ESHER, KT10 8QD",10,,PELHAMS WALK,,ESHER,KT10 8QD,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2900000,2023-05-26,elmbridge-prime,A
property:4 CHAWORTH CLOSE OTTERSHAW CHERTSEY KT16 0LS|KT160LS,"4, CHAWORTH CLOSE, OTTERSHAW, CHERTSEY, KT16 0LS",4,,CHAWORTH CLOSE,OTTERSHAW,CHERTSEY,KT16 0LS,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2400000,2023-05-26,runnymede-wentworth,A
property:UPLANDS EBBISHAM LANE WALTON ON THE HILL TADWORTH KT20 5BT|KT205BT,"UPLANDS, EBBISHAM LANE, WALTON ON THE HILL, TADWORTH, KT20 5BT",UPLANDS,,EBBISHAM LANE,WALTON ON THE HILL,TADWORTH,KT20 5BT,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2364000,2023-05-26,reigate-banstead,A
property:WENTWORTH COURT RIDGEMEAD ROAD ENGLEFIELD GREEN EGHAM TW20 0YD|TW200YD,"WENTWORTH COURT, RIDGEMEAD ROAD, ENGLEFIELD GREEN, EGHAM, TW20 0YD",WENTWORTH COURT,,RIDGEMEAD ROAD,ENGLEFIELD GREEN,EGHAM,TW20 0YD,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,34000000,2023-05-25,runnymede-wentworth,B
property:AMBERLEY HOUSE YAFFLE ROAD WEYBRIDGE KT13 0QF|KT130QF,"AMBERLEY HOUSE, YAFFLE ROAD, WEYBRIDGE, KT13 0QF",AMBERLEY HOUSE,,YAFFLE ROAD,,WEYBRIDGE,KT13 0QF,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:yaffle-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3850000,2023-05-19,elmbridge-prime,A
property:CHAGFORD HEATH RISE VIRGINIA WATER GU25 4AX|GU254AX,"CHAGFORD, HEATH RISE, VIRGINIA WATER, GU25 4AX",CHAGFORD,,HEATH RISE,,VIRGINIA WATER,GU25 4AX,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2100000,2023-05-19,runnymede-wentworth,A
property:19 WARWICKS BENCH ROAD GUILDFORD GU1 3TQ|GU13TQ,"19, WARWICKS BENCH ROAD, GUILDFORD, GU1 3TQ",19,,WARWICKS BENCH ROAD,,GUILDFORD,GU1 3TQ,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2100000,2023-05-18,guildford-district,A
property:CHATSWORTH HOUSE 30 CRANLEY ROAD HERSHAM WALTON ON THAMES KT12 5BL|KT125BL,"CHATSWORTH HOUSE, 30, CRANLEY ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5BL","CHATSWORTH HOUSE, 30",,CRANLEY ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5BL,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:cranley-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,5176000,2023-05-15,elmbridge-prime,A
property:33 VINE ROAD EAST MOLESEY KT8 9LF|KT89LF,"33, VINE ROAD, EAST MOLESEY, KT8 9LF",33,,VINE ROAD,,EAST MOLESEY,KT8 9LF,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2125000,2023-05-12,elmbridge-prime,A
property:THE LOUDHOUSE 3 BURNTWOOD DRIVE OXTED RH8 9EN|RH89EN,"THE LOUDHOUSE, 3, BURNTWOOD DRIVE, OXTED, RH8 9EN","THE LOUDHOUSE, 3",,BURNTWOOD DRIVE,,OXTED,RH8 9EN,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2250000,2023-05-11,tandridge-oxted,A
property:27 BROAD HIGH WAY COBHAM KT11 2RR|KT112RR,"27, BROAD HIGH WAY, COBHAM, KT11 2RR",27,,BROAD HIGH WAY,,COBHAM,KT11 2RR,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:broad-highway:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,2800000,2023-05-05,elmbridge-prime,A
property:14 BROOMFIELD RIDE OXSHOTT LEATHERHEAD KT22 0LW|KT220LW,"14, BROOMFIELD RIDE, OXSHOTT, LEATHERHEAD, KT22 0LW",14,,BROOMFIELD RIDE,OXSHOTT,LEATHERHEAD,KT22 0LW,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5300000,2023-05-04,elmbridge-prime,A
property:5 BROOM CLOSE ESHER KT10 9ET|KT109ET,"5, BROOM CLOSE, ESHER, KT10 9ET",5,,BROOM CLOSE,,ESHER,KT10 9ET,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4100000,2023-05-04,elmbridge-prime,A
