id,propertyRecordId,address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
lr-b580b96bc43db77227f0,property:DANUM HOUSE THE FAIRWAY WORPLESDON GUILDFORD GU3 3QE|GU33QE,"DANUM HOUSE, THE FAIRWAY, WORPLESDON, GUILDFORD, GU3 3QE",DANUM HOUSE,,THE FAIRWAY,WORPLESDON,GUILDFORD,GU3 3QE,Woking,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2200000,2009-10-28,woking-district,A
lr-743d723349cbedd2a4c0,property:GARDENERS COTTAGE CUTT MILL HOUSE SUFFIELD LANE PUTTENHAM GUILDFORD GU3 1BG|GU31BG,"GARDENERS COTTAGE, CUTT MILL HOUSE, SUFFIELD LANE, PUTTENHAM, GUILDFORD, GU3 1BG",CUTT MILL HOUSE,GARDENERS COTTAGE,SUFFIELD LANE,PUTTENHAM,GUILDFORD,GU3 1BG,Guildford,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2980000,2009-10-27,guildford-district,A
lr-45da2a6fd60648073f09,property:1 ROSEBRIARS ESHER KT10 9NN|KT109NN,"1, ROSEBRIARS, ESHER, KT10 9NN",1,,ROSEBRIARS,,ESHER,KT10 9NN,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2600000,2009-10-26,elmbridge-prime,A
lr-4a832dc6e562a1238e94,property:CONNAUGHT HOUSE CHRISTCHURCH ROAD VIRGINIA WATER GU25 4RW|GU254RW,"CONNAUGHT HOUSE, CHRISTCHURCH ROAD, VIRGINIA WATER, GU25 4RW",CONNAUGHT HOUSE,,CHRISTCHURCH ROAD,,VIRGINIA WATER,GU25 4RW,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,5250000,2009-10-23,runnymede-wentworth,A
lr-697c82d04276eaeef68a,property:BELGRAVE HOUSE 37 PRINCES DRIVE OXSHOTT LEATHERHEAD KT22 0UL|KT220UL,"BELGRAVE HOUSE, 37, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UL","BELGRAVE HOUSE, 37",,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UL,Elmbridge,Detached,crown-estate-oxshott,"Crown Estate, Oxshott",A,traditional_private_estate,pe:crown-estate-oxshott:prince-s-drive:whole,surrey-private-estates-2026-07-22-corrected-6,verified_multi_source,partial_ready,2005000,2009-10-23,elmbridge-prime,A
lr-98d37de032d6defa83c5,property:LITTLE COURT WELLINGTON AVENUE VIRGINIA WATER GU25 4QN|GU254QN,"LITTLE COURT, WELLINGTON AVENUE, VIRGINIA WATER, GU25 4QN",LITTLE COURT,,WELLINGTON AVENUE,,VIRGINIA WATER,GU25 4QN,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2050000,2009-10-22,runnymede-wentworth,A
lr-86637890807d5a69385c,property:GROVE HOUSE BAGSHOT ROAD WEST END WOKING GU24 9QS|GU249QS,"GROVE HOUSE, BAGSHOT ROAD, WEST END, WOKING, GU24 9QS",GROVE HOUSE,,BAGSHOT ROAD,WEST END,WOKING,GU24 9QS,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2425000,2009-10-19,surrey-heath,A
lr-7e1380ff87c22b57cf67,property:RIDGEWAY HOUSE RUNWICK FARNHAM GU10 5EE|GU105EE,"RIDGEWAY HOUSE, RUNWICK, FARNHAM, GU10 5EE",RIDGEWAY HOUSE,,,RUNWICK,FARNHAM,GU10 5EE,Waverley,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,3550000,2009-10-15,waverley-south-surrey,A
lr-aabb8f8a230c0f4cf9d5,property:ORNSAY WOODLANDS ROAD WEST VIRGINIA WATER GU25 4PN|GU254PN,"ORNSAY, WOODLANDS ROAD WEST, VIRGINIA WATER, GU25 4PN",ORNSAY,,WOODLANDS ROAD WEST,,VIRGINIA WATER,GU25 4PN,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:woodlands-road-west:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,3000000,2009-10-14,runnymede-wentworth,A
lr-3b76fc0de354bcd52ded,property:BROAD HOUSE 6 BROAD HIGH WAY COBHAM KT11 2RP|KT112RP,"BROAD HOUSE, 6, BROAD HIGH WAY, COBHAM, KT11 2RP","BROAD HOUSE, 6",,BROAD HIGH WAY,,COBHAM,KT11 2RP,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:broad-highway:whole,surrey-private-estates-2026-07-22-corrected-6,verified,ready,3300000,2009-10-09,elmbridge-prime,A
lr-cb5e8a85e44e03499717,property:CLIFDEN STOKESHEATH ROAD OXSHOTT LEATHERHEAD KT22 0PN|KT220PN,"CLIFDEN, STOKESHEATH ROAD, OXSHOTT, LEATHERHEAD, KT22 0PN",CLIFDEN,,STOKESHEATH ROAD,OXSHOTT,LEATHERHEAD,KT22 0PN,Elmbridge,Detached,crown-estate-oxshott,"Crown Estate, Oxshott",A,traditional_private_estate,pe:crown-estate-oxshott:stokesheath-road:whole,surrey-private-estates-2026-07-22-corrected-6,verified_multi_source,partial_ready,2900000,2009-10-02,elmbridge-prime,A
lr-12dab1d46664b0fe0af0,property:LAKE HOUSE LAKE ROAD VIRGINIA WATER GU25 4QW|GU254QW,"LAKE HOUSE, LAKE ROAD, VIRGINIA WATER, GU25 4QW",LAKE HOUSE,,LAKE ROAD,,VIRGINIA WATER,GU25 4QW,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:lake-road:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,4500000,2009-10-01,runnymede-wentworth,A
lr-d4e7aad51f432fe4f41e,property:CHASE GROVE THE CHASE KINGSWOOD TADWORTH KT20 6HZ|KT206HZ,"CHASE GROVE, THE CHASE, KINGSWOOD, TADWORTH, KT20 6HZ",CHASE GROVE,,THE CHASE,KINGSWOOD,TADWORTH,KT20 6HZ,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2100000,2009-09-25,reigate-banstead,A
lr-30aa9452a192ad746bdf,property:10 THE DRIVE COBHAM KT11 2JQ|KT112JQ,"10, THE DRIVE, COBHAM, KT11 2JQ",10,,THE DRIVE,,COBHAM,KT11 2JQ,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:the-drive:whole,surrey-private-estates-2026-07-22-corrected-6,verified,ready,2700000,2009-09-11,elmbridge-prime,A
lr-dd185c387b6c29bd97a8,property:17 SANDOWN ROAD ESHER KT10 9TT|KT109TT,"17, SANDOWN ROAD, ESHER, KT10 9TT",17,,SANDOWN ROAD,,ESHER,KT10 9TT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2150000,2009-09-10,elmbridge-prime,A
lr-1c75acf2cfd239aa3d00,property:HOE HOUSE FRANKSFIELD PEASLAKE GUILDFORD GU5 9SR|GU59SR,"HOE HOUSE, FRANKSFIELD, PEASLAKE, GUILDFORD, GU5 9SR",HOE HOUSE,,FRANKSFIELD,PEASLAKE,GUILDFORD,GU5 9SR,Guildford,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,4750000,2009-09-03,guildford-district,A
lr-7884a75efca8be8e5e8e,property:LITTLE ORCHARD MILES LANE COBHAM KT11 2EE|KT112EE,"LITTLE ORCHARD, MILES LANE, COBHAM, KT11 2EE",LITTLE ORCHARD,,MILES LANE,,COBHAM,KT11 2EE,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2330000,2009-08-28,elmbridge-prime,A
lr-1af7111af910f151f82e,property:RUSPER WOODLAND WAY KINGSWOOD TADWORTH KT20 6NU|KT206NU,"RUSPER, WOODLAND WAY, KINGSWOOD, TADWORTH, KT20 6NU",RUSPER,,WOODLAND WAY,KINGSWOOD,TADWORTH,KT20 6NU,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2100000,2009-08-28,reigate-banstead,A
lr-dc76a50843c09abdba76,property:ORCHARD HOUSE 3 MORELLA CLOSE VIRGINIA WATER GU25 4AT|GU254AT,"ORCHARD HOUSE, 3, MORELLA CLOSE, VIRGINIA WATER, GU25 4AT","ORCHARD HOUSE, 3",,MORELLA CLOSE,,VIRGINIA WATER,GU25 4AT,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:morella-close:whole,surrey-private-estates-2026-07-22-corrected-6,verified_title_restrictions,partial_ready,2025000,2009-08-28,runnymede-wentworth,A
lr-8c30f3fa4f11d4e4f51f,property:HIGHFIELD HOUSE MUNSTEAD VIEW ROAD BRAMLEY GUILDFORD GU5 0DA|GU50DA,"HIGHFIELD HOUSE, MUNSTEAD VIEW ROAD, BRAMLEY, GUILDFORD, GU5 0DA",HIGHFIELD HOUSE,,MUNSTEAD VIEW ROAD,BRAMLEY,GUILDFORD,GU5 0DA,Waverley,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2150000,2009-08-26,waverley-south-surrey,A
lr-476afbc80f55c249de90,property:6A EATON PARK COBHAM KT11 2JE|KT112JE,"6A, EATON PARK, COBHAM, KT11 2JE",6A,,EATON PARK,,COBHAM,KT11 2JE,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:eaton-park:whole,surrey-private-estates-2026-07-22-corrected-6,verified,ready,3100000,2009-08-19,elmbridge-prime,A
lr-d3f4d276f7e33eefedac,property:FOXBURY HOUSE HASCOMBE ROAD GODALMING GU8 4AE|GU84AE,"FOXBURY HOUSE, HASCOMBE ROAD, GODALMING, GU8 4AE",FOXBURY HOUSE,,HASCOMBE ROAD,,GODALMING,GU8 4AE,Waverley,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2500000,2009-08-07,waverley-south-surrey,A
lr-88e8ece9b6451e87e7b5,property:MUNSTEAD OAKS HASCOMBE ROAD GODALMING GU8 4AB|GU84AB,"MUNSTEAD OAKS, HASCOMBE ROAD, GODALMING, GU8 4AB",MUNSTEAD OAKS,,HASCOMBE ROAD,,GODALMING,GU8 4AB,Waverley,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2300000,2009-08-07,waverley-south-surrey,A
lr-c527a62664bc91f1c29b,property:JADICA CAMP END ROAD WEYBRIDGE KT13 0NW|KT130NW,"JADICA, CAMP END ROAD, WEYBRIDGE, KT13 0NW",JADICA,,CAMP END ROAD,,WEYBRIDGE,KT13 0NW,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:camp-end-road:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,3000000,2009-08-04,elmbridge-prime,A
lr-18063143fe05ff2ce1de,property:9 SANDOWN ROAD ESHER KT10 9TT|KT109TT,"9, SANDOWN ROAD, ESHER, KT10 9TT",9,,SANDOWN ROAD,,ESHER,KT10 9TT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2425000,2009-08-03,elmbridge-prime,A
lr-a76cf724fe6b00b92d71,property:5 FERNHILL OXSHOTT LEATHERHEAD KT22 0JH|KT220JH,"5, FERNHILL, OXSHOTT, LEATHERHEAD, KT22 0JH",5,,FERNHILL,OXSHOTT,LEATHERHEAD,KT22 0JH,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2250000,2009-08-03,elmbridge-prime,A
lr-e5ac7b1bcaf10bcbd0a8,property:YORK HOUSE 12 BLACKHILLS ESHER KT10 9JW|KT109JW,"YORK HOUSE, 12, BLACKHILLS, ESHER, KT10 9JW","YORK HOUSE, 12",,BLACKHILLS,,ESHER,KT10 9JW,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,3600000,2009-07-31,elmbridge-prime,A
